"Accession.name","BioSample","SRA","ID","Source","Continent","CIAT.code","DOI","Synonyms","Common.names","Organism","Genus","Species","Collection.status","Biological.status","CORE.collection","Country","Department","County","Place","Date.of.collection..dd.mm.yyyy.","Altitude..masl.","Latitude..decimal.","Longitude..decimal.","Donor.name","Institution","Donor.country","Collector.name","Date.of.receipt..dd.mm.yyyy.","Growth.habit","Plant.height..cm.","Flowering","Shape.of.leaf.lobe.central","Petiole.color","Developed.leaf.color","Number.of.leaf.lobes","Root.color","Dry.matter.content....","Total.HCN.content..ppm.","Total.sugars....","Total.amylose....","Clarity....","Temperature.pasting...C.","Maximum.viscosity","Breakdown..cP.","Easy.cooking..minutes."
"COL2617","SAMN47007596","SRR32633417","COL2617","This study","South America","COL 2617","10.18730/P9N74","255","Tacupa-Cuetse","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cesar","Codazzi","Cand.Alta-Perija","30-07-1987",950,10.0833,-73.0833,"Ciatcas-0053","UNIVERSIDAD NACIONAL DE COLOMBIA","Colombia","Mario Mejia Gutierrez","30-07-1987","",230,"Absent","Lanceolate","Green With Little Red","Dark Green","Nine Lobes","Cream",37.1,114,2.48,22.59,35.3,64.7,900,305,3.65
"COL265","SAMN47007602","SRR32633415","COL265","This study","South America","COL 265","10.18730/P8ZMG","CAU-358, COL 265","Bajuna","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cauca","La Sierra","Mario Ordo#Ez","03-07-1969",1600,2.15,-76.7,"","","","Victor Manuel Patino","03-07-1969","Bush",200,"Present","Lanceolate","","","","Cream",16.55,63,9,23.54,36,63.35,711,206,3.32
"COL2704","SAMN47007608","SRR32633414","COL2704","This study","South America","COL 2704","10.18730/PCEVQ","122-10, COL 2704","Majatera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Atlantico","Luruaco","Ver. Santa Cruz","12-02-1987",NA,10.6167,-75.15,"","","","Benjamin Pineda","12-02-1987","Bush",190,"Present","Elliptic-Lanceolate","","","","White",41.56,113,2.1,21.96,52.2,66.1,936,351,1.99
"COL278","SAMN47007613","SRR32633413","COL278","This study","South America","COL 278","10.18730/P7Q2D","COL 278, NAR-305","Mocoana","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Narino","Sandona","Silvia","12-07-1969",1800,1.25,-77.4,"","","","Pablo Emilio Daza","12-07-1969","Bush",245,"Present","Lanceolate","Red With Little Green","Dark Green","Nine Lobes","Cream",22.71,352,8.2,20.33,47.8,69.35,528,210,1.99
"COL298","SAMN47007620","SRR32633412","COL298","This study","South America","COL 298","10.18730/PBN4E","COL 298, NAR-325","De Dios","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Narino","Soto Mayor","Travesia","14-07-1969",1620,1.4667,-77.4667,"","","","Pablo Emilio Daza","14-07-1969","Bush",150,"Present","Lanceolate","","","","Cream",36.77,63,2.32,21.28,46.8,64.7,750,259,3.75
"COL327","SAMN47007629","SRR32633411","COL327","This study","South America","COL 327","10.18730/PC793","COL 327, NAR-354","Audona Negra","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Narino","Taminango","El Paramo","18-07-1969",1800,1.5333,-77.2333,"","","","Pablo Emilio Daza","18-07-1969","Bush",NA,"Present","Lanceolate","Green-Yellow","Dark Green","Five Lobes","",34.54,89,2.42,20.47,51.2,67.35,746,351,2.25
"COL359","SAMN47007632","SRR32633410","COL359","This study","South America","COL 359","10.18730/P9AQ1","COL 359, HUI-318","Cogollimorada","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Huila","Guadalupe","Romulo Sanchez","24-07-1969",960,2,-75.7,"","","","Victor Manuel Patino","24-07-1969","Bush",180,"Present","Lanceolate","","","","Cream",23.15,153,6,23.1,17.25,64.9,826,349,2.74
"COL386","SAMN47007635","SRR32633409","COL386","This study","South America","COL 386","10.18730/P864E","COL 386, HUI-345","Barona Chiquita","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Huila","La Plata","Ricardo A. Arias","26-07-1969",1300,2.35,-75.8667,"","","","Victor Manuel Patino","26-07-1969","Bush",245,"Absent","Elliptic-Lanceolate","","","","White",28.39,619,5.74,20.21,55,65.3,786,259,2.97
"COL738","SAMN47007678","SRR32633408","COL738","This study","South America","COL 738","10.18730/PBRC7","CHO-310, COL 738","Amarilla","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Choco","Carmen De Atrato","J.Saldarriaga","13-11-1969",1100,5.8,-76.1667,"","","","Victor Manuel Patino","13-11-1969","Bush",205,"Present","Lanceolate","","","","White",44.07,145,2.9,22.69,60.1,63.2,850,312,3.03
"COL745","SAMN47007679","SRR32689827","COL745_1","This study","South America","COL 745","10.18730/PAMYM","ANT-308, COL 745","Palmire#A","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Tarso","San Juan","11-10-1969",800,5.8,-75.7667,"","","","Victor Manuel Patino","11-10-1969","Bush",225,"Present","Lanceolate","","","","Cream",28.95,472,4.3,18.48,46.8,66.3,956,407,2.05
